time(sec), throughput(txs), avg_latency(Micros), min(Micros), max(Micros), 25th_lat(Micros), median_lat(Micros), 75th_lat(Micros)
5,998,4979,1576,15639,3708,4753,5849
10,869,11427,1638,26322,4719,5192,6053
15,924,16118,1540,27429,4460,4822,5902
20,1004,19780,1540,20823,3320,4737,5886
25,999,24848,1575,17578,3577,4728,5849
30,968,30767,1531,24463,3941,4771,5911
35,958,36270,1538,25972,4365,4772,5870
40,1038,38252,1445,14243,3363,4608,5748
45,1106,40387,1508,28191,3197,3824,5172
50,1029,48233,1444,14051,3582,4651,5683
55,1115,48967,1507,27095,3084,4106,5305
