time(sec), throughput(txs), avg_latency(MicroSecond), min(MicroSecond), max(MicroSecond), 25th_lat(MicroSecond), median_lat(MicroSecond), 75th_lat(MicroSecond)
5,4,1317,825,2520,907,962,2520
10,5,1938,741,1988,997,997,1988
15,4,3452,708,1638,858,1240,1638
20,5,3679,731,1718,1033,1033,1718
25,3,7747,2058,2746,2099,2099,2099
30,5,5638,805,2102,1035,1035,2102
35,3,10707,774,2055,1875,1875,1875
40,2,18324,2137,4526,4526,3331,4526
45,5,8247,1002,1935,1149,1149,1935
50,5,9157,1091,1924,1155,1155,1924
55,5,9968,689,1668,775,775,1668
60,4,13297,904,1351,1093,1180,1351
65,4,14414,1327,2526,1343,1571,2526
70,5,12323,725,1451,1042,1042,1451
75,6,11040,726,1228,856,950,1078
80,3,22917,1125,1275,1234,1234,1234
85,4,18302,796,2585,1456,1831,2585
90,5,15340,728,1119,842,842,1119
95,3,26996,1807,2481,2309,2309,2309
100,3,28525,1480,3107,1546,1546,1546
105,6,15083,726,1309,1014,1014,1145
110,5,18792,700,1076,880,880,1076
115,6,16321,656,1704,710,825,969
120,5,20567,741,1994,1032,1032,1994
125,4,26750,1038,2473,1211,1562,2473
130,3,36689,1372,1596,1471,1471,1471
135,4,28699,1265,2428,1488,1731,2428
140,3,39474,1651,3540,1976,1976,1976
145,4,30715,1233,1939,1267,1269,1939
150,3,42457,1696,3069,2813,2813,2813
155,3,43836,1698,2447,2441,2441,2441
160,5,27216,877,1295,1114,1114,1295
165,5,28110,802,1692,1125,1125,1692
170,5,28999,879,1348,1069,1069,1348
175,3,49386,784,2378,834,834,834
180,4,38111,784,4859,1523,1751,4859
185,5,31247,785,1317,955,955,1317
190,3,53651,1316,3000,1719,1719,1719
195,4,41354,1049,2377,1521,1707,2377
200,4,42226,724,1730,1033,1039,1730
205,3,57318,1375,2955,1675,1675,1675
210,4,44109,1057,4147,1224,1712,4147
215,4,45121,1037,1953,1038,1047,1953
220,5,36976,740,1409,1093,1093,1409
225,4,47276,1020,1973,1027,1129,1973
230,3,63972,1037,1767,1045,1045,1045
235,5,39261,751,2151,939,939,2151
240,5,40129,938,1175,1045,1045,1175
245,4,51149,830,1670,1101,1141,1670
250,4,52173,1023,1928,1350,1535,1928
255,6,35532,725,1167,762,935,1137
260,3,72477,1130,3055,1180,1180,1180
265,3,74009,1456,2545,2050,2050,2050
270,5,45205,797,1564,870,870,1564
275,6,38366,706,1152,775,832,1076
280,5,46882,705,1697,1083,1083,1697
285,6,39851,741,1100,766,896,1046
290,3,81294,2363,2497,2414,2414,2414
295,4,61753,866,1073,1013,1029,1073
300,6,41908,693,2224,793,938,1118
305,2,127167,1505,2884,2884,2194,2884
310,5,51703,748,3604,1082,1082,3604
315,4,65267,758,1027,767,871,1027
320,3,88008,1341,2879,1612,1612,1612
325,3,89611,1438,3371,1950,1950,1950
330,5,54504,745,1076,1044,1044,1076
335,7,39605,696,1309,718,759,790
340,4,70321,730,2165,792,941,2165
345,5,56969,730,1060,1016,1016,1060
350,2,144683,1660,4519,4519,3089,4519
355,6,49034,801,1180,1030,1042,1137
360,4,74652,756,2369,853,1017,2369
365,3,100935,1991,2129,2066,2066,2066
370,4,76493,816,2236,1084,1177,2236
375,4,77228,745,2224,750,1097,2224
380,3,104092,1650,2226,1713,1713,1713
385,4,79263,1075,2884,1489,1850,2884
390,5,64217,705,1647,1110,1110,1647
395,4,81288,1061,1580,1094,1242,1580
400,6,54958,699,1351,963,1009,1111
405,3,110999,1330,1915,1711,1711,1711
410,6,56312,741,2023,1116,1117,1121
415,6,57055,749,1940,871,951,1042
420,3,115136,1081,1810,1267,1267,1267
425,5,69833,686,2417,1121,1121,2417
430,6,58961,768,1657,1012,1015,1033
435,2,178650,1774,3533,3533,2653,3533
440,3,120578,1713,2723,1786,1786,1786
445,6,61099,822,1559,865,994,1205
450,5,74011,690,1228,778,778,1228
455,6,62388,700,1809,740,876,1082
460,6,63168,718,1310,763,778,1101
465,4,95843,954,1973,1642,1706,1973
470,5,77659,1087,2201,1351,1351,2201
475,3,130121,1002,1125,1064,1064,1064
480,2,196654,2944,3360,3360,3152,3360
485,6,66281,657,2036,853,944,1095
490,4,100541,913,2112,1212,1332,2112
495,2,202388,1446,2612,2612,2029,2612
500,4,102171,1082,3237,1323,1414,3237
505,7,59071,723,1057,743,779,891
510,6,69736,745,2389,1059,1068,1128
515,5,84607,762,1966,1113,1113,1966
520,4,106962,804,2005,1656,1829,2005
525,6,71991,669,1048,691,697,1015
530,5,87250,732,1778,1011,1011,1778
535,3,147021,1293,3127,1684,1684,1684
540,5,89011,714,1403,1129,1129,1403
545,5,89706,687,1626,755,755,1626
550,3,150918,1757,2468,1874,1874,1874
555,3,152283,1694,2402,1966,1966,1966
560,5,92247,736,1753,1090,1090,1753
565,5,93010,702,1262,790,790,1262
