time(sec), throughput(txs), avg_latency(Micros), min(Micros), max(Micros), 25th_lat(Micros), median_lat(Micros), 75th_lat(Micros)
5,4899,1003,488,4775,716,980,1160
10,4363,2252,483,7187,753,1040,1301
15,4473,3297,504,6235,732,1016,1244
20,4442,4429,492,5839,734,1024,1254
25,4698,5235,487,4910,719,991,1179
30,3939,7492,526,8857,834,1111,1476
35,4768,7221,468,5404,722,992,1199
40,4339,9069,526,6631,753,1045,1305
45,4559,9711,478,5686,737,1021,1230
50,4946,9947,472,9435,705,977,1144
55,4646,11648,507,6656,747,1022,1213
