time(sec), throughput(txs), avg_latency(Micros), min(Micros), max(Micros), 25th_lat(Micros), median_lat(Micros), 75th_lat(Micros)
5,380,13166,7386,31334,10167,12110,15304
10,326,30618,7648,54843,11898,14401,17203
15,407,36777,6714,40206,9464,10675,14091
20,430,46428,6643,32732,9087,10199,13044
25,399,62557,6737,42508,9659,11254,14292
30,423,70816,6822,32315,9360,10810,13184
35,378,92456,6685,35020,9576,11212,15264
40,403,99117,6849,42667,9463,10984,13700
45,395,113767,6725,45356,9293,10758,14158
50,422,118328,7118,40104,9149,10239,12652
55,402,136627,6937,44087,9336,10687,13819
