time(sec), throughput(txs), avg_latency(Micros), min(Micros), max(Micros), 25th_lat(Micros), median_lat(Micros), 75th_lat(Micros)
5,448,11157,6725,39163,8922,10177,12420
10,378,26422,6730,45122,9473,11730,15205
15,416,35997,6555,45720,8415,9605,12340
20,471,42391,6060,44738,8151,9293,11162
25,432,57778,6281,40921,8764,10442,13144
30,454,65973,6183,39909,8681,10127,12260
35,465,75146,6322,40452,8614,9793,11732
40,376,106208,6518,36893,8635,10349,16170
45,457,98299,6562,39697,8533,9757,11626
50,475,105077,6320,36923,8336,9414,10878
55,459,119624,6570,36129,8472,9867,11831
