time(sec), throughput(txs), avg_latency(Micros), min(Micros), max(Micros), 25th_lat(Micros), median_lat(Micros), 75th_lat(Micros)
5,883,5640,1914,24900,3670,5645,6332
10,878,11331,1858,28260,4107,4918,6436
15,925,16128,1829,12816,3619,4785,6451
20,966,20586,1902,19885,3586,4341,6063
25,1010,24610,1651,13549,3553,4046,5914
30,839,35545,1891,22089,3969,5839,6379
35,774,44928,2068,20578,4827,5927,6559
40,895,44404,1876,18276,3742,5376,6297
45,740,60415,2214,18872,5688,5948,6371
50,756,65705,2040,24795,5666,5943,6330
55,799,68386,2327,29143,4780,5728,6235
