time(sec), throughput(txs), avg_latency(Micros), min(Micros), max(Micros), 25th_lat(Micros), median_lat(Micros), 75th_lat(Micros)
5,377,13245,6311,40044,8561,10306,14672
10,388,25729,7132,41205,9051,10498,13963
15,321,46647,6372,44162,8714,12173,19017
20,358,55747,6865,40309,8697,10384,15045
25,368,67805,5088,44353,9698,11842,14388
30,331,90382,6633,52974,8136,10147,16700
35,327,106736,6689,44053,8244,12470,18411
40,296,134784,6310,46360,8611,12214,20496
45,304,147651,6690,48937,8806,13163,20333
50,306,163005,7047,43039,9196,12473,19427
55,351,156300,6590,41549,8593,10915,15361
